min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerOpinion;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaValue;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;ideaGraph
0;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;4;1;0;3;0;[[2:39:58:[33]:9]:[6:9:39:58]:[5:39:33:58]];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1000;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;1;0;0;0;0;0;0;0;0;0;0;[[1]]
0;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;4;1;0;3;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;2543;22;33;1;1;0;2;0;1;0.0;0.5;0.5;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;-932384166;0;0.0;0.0;0.0;-4.66192083E8;false;0;3;0;0;0;0;0;0;0;0;0;0;[[33]:[33:22:1]:[33:1:1]]
0;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;4;1;0;3;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;2026;12;33;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;2;0;2;0;0;0;-932351058;0;0.0;1.0;0.0;-4.66175529E8;false;0;0;0;0;0;0;0;0;0;0;0;0;[[34]:[34:12:1]:[34:33:1]]
0;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;4;1;0;3;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;2284;17;35;2;2;0;1;0;0;0.0;0.0;1.0;0;0;0;6;29;[33];2;0;0;0;2;0;2;0;0;0;-932351058;0;0.0;1.0;0.0;-4.66175529E8;false;0;0;0;0;0;0;0;0;0;0;0;0;[[35]:[35:17:1]:[35:33:1]]
0;39;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;4;1;0;3;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;39;2361;9;58;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;2;2;2;0;0;0;-932351058;0;0.0;1.0;0.0;-4.66175529E8;false;0;0;0;0;0;0;0;0;0;0;0;0;[[39]:[39:33:1]:[39:9:1]]
1;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;6;1;0;7;0;[[2:45:117:[1]:17]:[6:17:45:117]:[5:45:1:117]];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1000;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;0;0;0;[]
1;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;6;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;2543;22;33;1;1;0;3;1;1;0.3333333333333333;0.3333333333333333;0.3333333333333334;1;1;1;6;29;[1];2;0;0;0;0;0;0;0;0;0;-932384166;0;0.0;0.0;0.0;-4.66192083E8;false;0;4;0;0;0;0;0;0;0;0;0;0;[]
1;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;6;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;2026;12;33;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;3;0;3;1;0;1;-932351058;0;0.0;1.5;0.5;-4.66175529E8;false;0;0;0;0;0;0;0;0;0;0;0;0;[]
1;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;6;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;2284;17;35;2;2;0;2;0;1;0.0;0.5;0.5;0;0;0;6;29;[33];2;0;0;0;3;0;3;1;0;1;-932351058;0;0.0;1.5;0.5;-4.66175529E8;false;0;0;0;0;0;0;0;0;0;0;0;0;[]
1;39;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;6;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;39;2361;9;58;2;2;0;1;0;1;0.0;1.0;0.0;0;0;0;6;29;[33];2;0;0;0;3;2;3;1;0;1;-932351058;0;0.0;1.5;0.5;-4.66175529E8;false;0;0;0;0;0;0;0;0;0;0;0;0;[]
1;42;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;6;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;42;9955;26;98;2;2;0;1;1;0;1.0;0.0;0.0;1;3;3;6;29;[33];2;0;0;0;3;3;3;1;1;1;-932351058;0;0.0;1.5;0.5;-4.66175529E8;false;0;0;0;0;0;0;0;0;0;0;0;0;[[42]:[42:33:1:1]:[42:26:1:1]]
